metadata-id,metadata-type,subject,key,value,recorded-at,recorded-by,details
M0001,package,McFamily,package-format,mcfamily-package,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
M0002,package,McFamily,package-version,1,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
M0003,package,McFamily,dataset-version,17.0.1,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
M0004,package,McFamily,person-count,916,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
M0005,package,McFamily,relationship-count,1472,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
M0006,package,McFamily,place-count,192,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
M0007,package,McFamily,residence-count,546,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
M0008,access,McFamily,access-mode,editor,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
M0009,family,McFamily,title,McLineage,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
M0010,family,McFamily,initialized-at,2026-08-24T00:00:00.000Z,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
M0011,family,McFamily,home-person-id,P044,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
M0012,family,McFamily,created-at,2026-08-24T00:00:00.000Z,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
M0013,family,McFamily,updated-at,2026-08-26T05:02:55.807Z,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
M0014,family,McFamily,notes,,2026-08-26T05:02:55.807Z,McFamily 0.0.1.79,
