relationship-id,relationship-type,person-1-id,person-2-id,parent-lineage,parent-type,partner-type,relationship-order,date-start-value,date-start-descriptor,date-end-value,date-end-descriptor,end-reason,place-id,notes,source-last-modified-date,source-last-modified-by
R001,partner,P001,P608,,,marriage,1,1972-05-06,day,,,,,,2026-08-26,McFamily
RL0001,parent-child,P013,P001,lineal,biological,,1,,,,,,,,2026-08-26,McFamily
RN0001,parent-child,P618,P001,non-lineal,biological,,1,,,,,,,,2026-08-26,McFamily
R002,partner,P002,P609,,,marriage,1,1984-01-20,day,,,,,,2026-08-26,McFamily
RL0002,parent-child,P005,P002,lineal,biological,,2,,,,,,,,2026-08-26,McFamily
RN0002,parent-child,P612,P002,non-lineal,biological,,2,,,,,,,,2026-08-26,McFamily
R003,partner,P003,P610,,,marriage,1,1941-09-06,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0003,parent-child,P033,P003,lineal,biological,,3,,,,,,,,2026-08-26,McFamily
RN0003,parent-child,P639,P003,non-lineal,biological,,3,,,,,,,,2026-08-26,McFamily
R004,partner,P004,P611,,,marriage,1,1972-12-02,day,,,,,,2026-08-26,McFamily
RL0004,parent-child,P005,P004,lineal,biological,,4,,,,,,,,2026-08-26,McFamily
RN0004,parent-child,P612,P004,non-lineal,biological,,4,,,,,,,,2026-08-26,McFamily
R005,partner,P005,P612,,,marriage,1,1949-08-06,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0005,parent-child,P033,P005,lineal,biological,,5,,,,,,,,2026-08-26,McFamily
RN0005,parent-child,P639,P005,non-lineal,biological,,5,,,,,,,,2026-08-26,McFamily
R006,partner,P006,P613,,,marriage,1,1977-12-22,day,,,,,,2026-08-26,McFamily
RL0006,parent-child,P005,P006,lineal,biological,,6,,,,,,,,2026-08-26,McFamily
RN0006,parent-child,P612,P006,non-lineal,biological,,6,,,,,,,,2026-08-26,McFamily
R007,partner,P007,P614,,,marriage,1,1986-10-04,day,,,,,,2026-08-26,McFamily
RL0007,parent-child,P019,P007,lineal,biological,,7,,,,,,,,2026-08-26,McFamily
RN0007,parent-child,P625,P007,non-lineal,biological,,7,,,,,,,,2026-08-26,McFamily
RL0008,parent-child,P019,P008,lineal,biological,,8,,,,,,,,2026-08-26,McFamily
RN0008,parent-child,P625,P008,non-lineal,biological,,8,,,,,,,,2026-08-26,McFamily
R008,partner,P009,P615,,,marriage,1,1977-10-15,day,,,,,,2026-08-26,McFamily
RL0009,parent-child,P005,P009,lineal,biological,,9,,,,,,,,2026-08-26,McFamily
RN0009,parent-child,P612,P009,non-lineal,biological,,9,,,,,,,,2026-08-26,McFamily
R009,partner,P010,P616,,,marriage,1,1986-09-27,day,,,,,,2026-08-26,McFamily
RL0010,parent-child,P005,P010,lineal,biological,,10,,,,,,,,2026-08-26,McFamily
RN0010,parent-child,P612,P010,non-lineal,biological,,10,,,,,,,,2026-08-26,McFamily
RL0011,parent-child,P003,P011,lineal,biological,,11,,,,,,,,2026-08-26,McFamily
RN0011,parent-child,P610,P011,non-lineal,biological,,11,,,,,,,,2026-08-26,McFamily
R306,partner,P012,P913,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
