residence-id,person-id,place-id,residence-label,is-current,date-start-value,date-start-descriptor,date-end-value,date-end-descriptor,notes,source-last-modified-date,source-last-modified-by
RS0002,P378,L0002,Home,TRUE,,,,,,2018-08-20,Melanie
RS0003,P876,L0002,Home,TRUE,,,,,,2018-08-20,Melanie
RS0004,P245,L0003,Home,TRUE,,,,,,2015-08-22,Melanie
RS0005,P516,L0003,Home,TRUE,,,,,,2015-08-22,Melanie
RS0006,P534,L0003,Home,TRUE,,,,,,2015-08-22,Melanie
RS0007,P846,L0003,Home,TRUE,,,,,,2015-08-22,Melanie
RS0010,P380,L0006,Home,TRUE,,,,,,2018-08-18,Melanie
RS0011,P569,L0006,Home,TRUE,,,,,,2018-08-18,Melanie
RS0012,P580,L0006,Home,TRUE,,,,,,2018-08-18,Melanie
RS0013,P877,L0006,Home,TRUE,,,,,,2018-08-18,Melanie
RS0014,P382,L0007,Home,TRUE,,,,,,2018-08-20,Melanie
RS0015,P879,L0007,Home,TRUE,,,,,,2018-08-20,Melanie
RS0016,P193,L0008,Home,TRUE,,,,,,2000-07-13,Lauerb
RS0017,P408,L0008,Home,TRUE,,,,,,2000-07-13,Lauerb
RS0018,P409,L0008,Home,TRUE,,,,,,2000-07-13,Lauerb
RS0019,P410,L0008,Home,TRUE,,,,,,2000-07-13,Lauerb
RS0020,P286,L0009,Home,TRUE,,,,,,2007-08-13,BMAC
RS0021,P531,L0009,Home,TRUE,,,,,,2007-08-13,BMAC
RS0022,P859,L0009,Home,TRUE,,,,,,2007-08-13,BMAC
RS0023,P201,L0010,Home,TRUE,,,,,,2007-06-01,BMAC
RS0024,P404,L0010,Home,TRUE,,,,,,2007-06-01,BMAC
RS0025,P405,L0010,Home,TRUE,,,,,,2007-06-01,BMAC
RS0026,P816,L0010,Home,TRUE,,,,,,2007-06-01,BMAC
RS0027,P163,L0011,Home,TRUE,,,,,,1999-08-08,Laptop
RS0028,P474,L0011,Home,TRUE,,,,,,1999-08-08,Laptop
RS0029,P777,L0011,Home,TRUE,,,,,,1999-08-08,Laptop
RS0030,P177,L0012,Home,TRUE,,,,,,1999-08-08,Laptop
RS0031,P434,L0012,Home,TRUE,,,,,,1999-08-08,Laptop
RS0032,P435,L0012,Home,TRUE,,,,,,1999-08-08,Laptop
RS0033,P792,L0012,Home,TRUE,,,,,,1999-08-08,Laptop
RS0034,P283,L0013,Home,TRUE,,,,,,2008-09-03,BMAC
RS0035,P543,L0013,Home,TRUE,,,,,,2008-09-03,BMAC
RS0036,P857,L0013,Home,TRUE,,,,,,2008-09-03,BMAC
RS0037,P030,L0014,Home,TRUE,,,,,,2003-07-19,BMAC
RS0038,P026,L0015,Home,TRUE,,,,,,2001-08-16,Lauerb
RS0039,P459,L0016,Home,TRUE,,,,,,2018-08-09,Melanie
RS0040,P582,L0016,Home,TRUE,,,,,,2018-08-09,Melanie
RS0041,P603,L0016,Home,TRUE,,,,,,2018-08-09,Melanie
RS0042,P908,L0016,Home,TRUE,,,,,,2018-08-09,Melanie
RS0043,P100,L0017,Home,TRUE,,,,,,1999-07-17,Lauerb
RS0044,P290,L0017,Home,TRUE,,,,,,1999-07-17,Lauerb
RS0045,P291,L0017,Home,TRUE,,,,,,1999-07-17,Lauerb
RS0046,P292,L0017,Home,TRUE,,,,,,1999-07-17,Lauerb
RS0047,P713,L0017,Home,TRUE,,,,,,1999-07-17,Lauerb
RS0048,P381,L0018,Home,TRUE,,,,,,2018-08-20,Melanie
RS0049,P562,L0018,Home,TRUE,,,,,,2018-08-20,Melanie
RS0050,P585,L0018,Home,TRUE,,,,,,2018-08-20,Melanie
RS0051,P878,L0018,Home,TRUE,,,,,,2018-08-20,Melanie
RS0052,P444,L0019,Home,TRUE,,,,,,2018-08-01,Melanie
RS0053,P901,L0019,Home,TRUE,,,,,,2018-08-01,Melanie
RS0054,P428,L0020,Home,TRUE,,,,,,2018-08-20,Melanie
RS0055,P893,L0020,Home,TRUE,,,,,,2018-08-20,Melanie
RS0056,P442,L0021,Home,TRUE,,,,,,2018-08-01,Melanie
RS0057,P595,L0021,Home,TRUE,,,,,,2018-08-01,Melanie
RS0058,P899,L0021,Home,TRUE,,,,,,2018-08-01,Melanie
RS0059,P081,L0022,Home,TRUE,,,,,,2001-07-09,Lauerb
RS0060,P271,L0022,Home,TRUE,,,,,,2001-07-09,Lauerb
RS0061,P272,L0022,Home,TRUE,,,,,,2001-07-09,Lauerb
RS0062,P691,L0022,Home,TRUE,,,,,,2001-07-09,Lauerb
RS0063,P101,L0023,Home,TRUE,,,,,,2001-07-09,Lauerb
RS0064,P296,L0023,Home,TRUE,,,,,,2001-07-09,Lauerb
RS0065,P297,L0023,Home,TRUE,,,,,,2001-07-09,Lauerb
RS0066,P298,L0023,Home,TRUE,,,,,,2001-07-09,Lauerb
RS0067,P714,L0023,Home,TRUE,,,,,,2001-07-09,Lauerb
RS0068,P146,L0024,Home,TRUE,,,,,,2005-02-21,BMAC
RS0069,P464,L0024,Home,TRUE,,,,,,2005-02-21,BMAC
RS0070,P504,L0024,Home,TRUE,,,,,,2005-02-21,BMAC
RS0071,P758,L0024,Home,TRUE,,,,,,2005-02-21,BMAC
RS0072,P087,L0025,Home,TRUE,,,,,,2017-09-02,Melanie
RS0073,P277,L0025,Home,TRUE,,,,,,2017-09-02,Melanie
RS0074,P278,L0025,Home,TRUE,,,,,,2017-09-02,Melanie
RS0075,P192,L0026,Home,TRUE,,,,,,2008-10-03,BMAC
RS0076,P411,L0026,Home,TRUE,,,,,,2008-10-03,BMAC
RS0077,P412,L0026,Home,TRUE,,,,,,2008-10-03,BMAC
RS0078,P194,L0027,Home,TRUE,,,,,,1999-08-08,Laptop
RS0079,P406,L0027,Home,TRUE,,,,,,1999-08-08,Laptop
RS0080,P407,L0027,Home,TRUE,,,,,,1999-08-08,Laptop
RS0081,P810,L0027,Home,TRUE,,,,,,1999-08-08,Laptop
RS0082,P191,L0028,Home,TRUE,,,,,,2008-10-03,BMAC
RS0083,P413,L0028,Home,TRUE,,,,,,2008-10-03,BMAC
RS0084,P546,L0028,Home,TRUE,,,,,,2008-10-03,BMAC
RS0085,P807,L0028,Home,TRUE,,,,,,2008-10-03,BMAC
RS0086,P238,L0029,Home,TRUE,,,,,,2003-07-28,BMAC
RS0087,P845,L0029,Home,TRUE,,,,,,2003-07-28,BMAC
RS0088,P129,L0030,Home,TRUE,,,,,,2003-07-28,BMAC
RS0089,P739,L0030,Home,TRUE,,,,,,2003-07-28,BMAC
RS0090,P374,L0031,Home,TRUE,,,,,,2013-07-26,Melanie
RS0091,P017,L0032,Home,TRUE,,,,,,2018-08-18,Melanie
RS0092,P623,L0032,Home,TRUE,,,,,,2018-08-18,Melanie
RS0093,P372,L0033,Home,TRUE,,,,,,2013-07-26,Melanie
RS0094,P874,L0033,Home,TRUE,,,,,,2013-07-26,Melanie
RS0095,P373,L0034,Home,TRUE,,,,,,2018-08-01,Melanie
RS0096,P001,L0035,Home,TRUE,,,,,,2014-07-28,Melanie
RS0097,P608,L0035,Home,TRUE,,,,,,2014-07-28,Melanie
RS0098,P066,L0036,Home,TRUE,,,,,,1994-01-03,McDirectory
RS0099,P673,L0036,Home,TRUE,,,,,,1994-01-03,McDirectory
RS0100,P062,L0037,Home,TRUE,,,,,,2014-08-14,Melanie
RS0101,P242,L0037,Home,TRUE,,,,,,2014-08-14,Melanie
RS0102,P505,L0037,Home,TRUE,,,,,,2014-08-14,Melanie
RS0103,P506,L0037,Home,TRUE,,,,,,2014-08-14,Melanie
RS0104,P669,L0037,Home,TRUE,,,,,,2014-08-14,Melanie
RS0105,P059,L0038,Home,TRUE,,,,,,2007-06-01,BMAC
RS0106,P666,L0038,Home,TRUE,,,,,,2007-06-01,BMAC
RS0107,P061,L0039,Home,TRUE,,,,,,2007-08-20,BMAC
RS0108,P241,L0039,Home,TRUE,,,,,,2007-08-20,BMAC
RS0109,P519,L0039,Home,TRUE,,,,,,2007-08-20,BMAC
RS0110,P533,L0039,Home,TRUE,,,,,,2007-08-20,BMAC
RS0111,P668,L0039,Home,TRUE,,,,,,2007-08-20,BMAC
RS0112,P085,L0040,Home,TRUE,,,,,,2017-09-02,Melanie
RS0113,P274,L0040,Home,TRUE,,,,,,2017-09-02,Melanie
RS0114,P695,L0040,Home,TRUE,,,,,,2017-09-02,Melanie
RS0115,P176,L0041,Home,TRUE,,,,,,1999-08-08,Laptop
RS0116,P791,L0041,Home,TRUE,,,,,,1999-08-08,Laptop
RS0117,P047,L0042,Home,TRUE,,,,,,2017-08-05,Melanie
RS0118,P655,L0042,Home,TRUE,,,,,,2017-08-05,Melanie
RS0119,P446,L0043,Home,TRUE,,,,,,2018-08-01,Melanie
RS0120,P590,L0043,Home,TRUE,,,,,,2018-08-01,Melanie
RS0121,P903,L0043,Home,TRUE,,,,,,2018-08-01,Melanie
RS0122,P027,L0044,Home,TRUE,,,,,,2001-07-08,Lauerb
RS0123,P365,L0044,Home,TRUE,,,,,,2001-07-08,Lauerb
RS0124,P490,L0044,Home,TRUE,,,,,,2001-07-08,Lauerb
RS0125,P491,L0044,Home,TRUE,,,,,,2001-07-08,Lauerb
RS0126,P634,L0044,Home,TRUE,,,,,,2001-07-08,Lauerb
RS0127,P028,L0045,Home,TRUE,,,,,,2001-08-16,Lauerb
RS0128,P366,L0045,Home,TRUE,,,,,,2001-08-16,Lauerb
RS0129,P635,L0045,Home,TRUE,,,,,,2001-08-16,Lauerb
RS0130,P168,L0046,Home,TRUE,,,,,,1999-08-08,Laptop
RS0131,P469,L0046,Home,TRUE,,,,,,1999-08-08,Laptop
RS0132,P470,L0046,Home,TRUE,,,,,,1999-08-08,Laptop
RS0133,P781,L0046,Home,TRUE,,,,,,1999-08-08,Laptop
RS0134,P169,L0047,Home,TRUE,,,,,,2017-08-05,Melanie
RS0135,P782,L0047,Home,TRUE,,,,,,2017-08-05,Melanie
RS0136,P466,L0048,Home,TRUE,,,,,,2007-03-06,BMAC
RS0137,P468,L0048,Home,TRUE,,,,,,2007-03-06,BMAC
RS0138,P497,L0048,Home,TRUE,,,,,,2007-03-06,BMAC
RS0139,P520,L0048,Home,TRUE,,,,,,2007-03-06,BMAC
RS0140,P910,L0048,Home,TRUE,,,,,,2007-03-06,BMAC
RS0141,P282,L0049,Home,TRUE,,,,,,2007-08-13,BMAC
RS0142,P532,L0049,Home,TRUE,,,,,,2007-08-13,BMAC
RS0143,P856,L0049,Home,TRUE,,,,,,2007-08-13,BMAC
RS0144,P136,L0050,Home,TRUE,,,,,,2009-07-17,BMAC
RS0145,P748,L0050,Home,TRUE,,,,,,2009-07-17,BMAC
RS0146,P395,L0051,Home,TRUE,,,,,,2018-07-31,Melanie
RS0147,P550,L0051,Home,TRUE,,,,,,2018-07-31,Melanie
RS0148,P563,L0051,Home,TRUE,,,,,,2018-07-31,Melanie
